person_capacity,city,guest_satisfaction_overall,realSum
2.0,amsterdam,94.38091419406575,417.73821251335033
2.0,athens,94.27837423312883,131.1602543468313
2.0,barcelona,91.5841439688716,226.30479512872014
2.0,berlin,95.0883301096067,202.94198431238243
2.0,budapest,94.45991561181435,139.07511706644664
2.0,lisbon,90.69243912857753,173.42254436575186
2.0,london,91.60286772998228,252.07229923533876
2.0,paris,92.17281606077049,300.1098513079115
2.0,rome,92.95744680851064,160.5879487043921
2.0,vienna,94.37735849056604,208.47532898581213
3.0,amsterdam,94.5251798561151,554.4371476783376
3.0,athens,94.43349168646081,126.18608294096192
3.0,barcelona,91.60909090909091,287.0892460810304
3.0,berlin,93.6755162241888,238.40941261341158
3.0,budapest,94.72992700729927,168.02309405756327
3.0,lisbon,90.17105263157895,223.16476580757708
3.0,london,88.76632302405498,373.20907165631525
3.0,paris,90.89318885448917,372.33546012701896
3.0,rome,92.85443959243086,178.849442868076
3.0,vienna,93.88,203.3868592665311
4.0,amsterdam,94.58517350157729,796.2156051215092
4.0,athens,95.22106360792492,150.80611445669712
4.0,barcelona,89.61488673139158,459.43816444365405
4.0,berlin,93.03508771929825,297.9370069872571
4.0,budapest,94.67379352474038,185.39870100439992
4.0,lisbon,91.57909446618223,274.3768726331542
4.0,london,89.15288356909684,511.29417633967694
4.0,paris,92.45601851851852,474.5738499066221
4.0,rome,93.54583651642476,226.97593244433537
4.0,vienna,93.53159224936816,257.2160311925421
5.0,amsterdam,96.61904761904762,1149.4164370690512
5.0,athens,95.65277777777777,170.14523560304852
5.0,barcelona,89.08433734939759,556.0866128418531
5.0,berlin,91.27358490566037,351.5180591983998
5.0,budapest,94.63948497854078,204.8545841577508
5.0,lisbon,91.66455696202532,316.1113354074144
5.0,london,87.93638676844783,609.3985703263209
5.0,paris,91.71610169491525,623.4093878305432
5.0,rome,92.8111254851229,263.86021891371604
5.0,vienna,93.64646464646465,285.12339815894967
6.0,amsterdam,96.46153846153847,1670.509245322359
6.0,athens,95.9953125,213.55863192182414
6.0,barcelona,88.33939393939394,700.8507586160202
6.0,berlin,92.93835616438356,498.6771351844903
6.0,budapest,94.37470167064438,243.02632522058454
6.0,lisbon,91.91943127962085,352.96793908515093
6.0,london,89.92375366568915,810.0860067457164
6.0,paris,91.0,794.2045305399632
6.0,rome,93.20096269554753,311.87701971195827
6.0,vienna,91.66055045871559,351.0218447537073
